"盒幅锅龋","螟沥家疙","斥/岿/老","雀瞒","版档","困档","盲荐矫阿","TN(Х/L)","TP(Х/L)"
"3008B10","措没达4","2016/07/05","1雀瞒 吝摸何","127∑38'8.4""","36∑22'18.5""","14:30","3.332","0.223"
"3008B30","措没达5(措没龋)","2016/07/05","1雀瞒 吝摸何","127∑33'9.3""","36∑25'59.2""","15:15","2.616","0.093"
"3008B20","措没达6","2016/07/05","1雀瞒 吝摸何","127∑33'25.1""","36∑23'18.6""","14:50","3.515","0.248"
"3008B60","措没达2","2016/07/05","1雀瞒 窍摸何","127∑29'5.4""","36∑28'37""","15:50","2.168","0.013"
"3008B50","措没达3","2016/07/05","1雀瞒 窍摸何","127∑30'23.8""","36∑30'43.2""","16:10","2.322","0.035"
"3008B10","措没达4","2016/07/05","1雀瞒 窍摸何","127∑38'8.4""","36∑22'18.5""","14:30","3.494","0.239"
"3008B30","措没达5(措没龋)","2016/07/05","1雀瞒 窍摸何","127∑33'9.3""","36∑25'59.2""","15:15","2.885","0.019"
"3008B20","措没达6","2016/07/05","1雀瞒 窍摸何","127∑33'25.1""","36∑23'18.6""","14:50","3.771","0.121"
"3008B40","措没达1","2016/07/11","1雀瞒","127∑29'44""","36∑22'16""","15:50","1.317","0.033"
"3008B40","措没达1","2016/07/18","2雀瞒","127∑29'44""","36∑22'16""","14:00","1.359","0.030"
"3008B40","措没达1","2016/07/25","3雀瞒","127∑29'44""","36∑22'16""","12:00","1.068","0.011"
"3008B40","措没达1","2016/08/01","1雀瞒","127∑29'44""","36∑22'16""","13:25","0.909","0.016"
"3008B60","措没达2","2016/08/02","1雀瞒 惑摸何","127∑29'5.4""","36∑28'37""","13:00","1.740","0.026"
"3008B50","措没达3","2016/08/02","1雀瞒 惑摸何","127∑30'23.8""","36∑30'43.2""","13:30","1.783","0.031"
"3008B10","措没达4","2016/08/02","1雀瞒 惑摸何","127∑38'8.4""","36∑22'18.5""","11:10","2.240","0.046"
"3008B30","措没达5(措没龋)","2016/08/02","1雀瞒 惑摸何","127∑33'9.3""","36∑25'59.2""","12:25","2.199","0.034"
"3008B20","措没达6","2016/08/02","1雀瞒 惑摸何","127∑33'25.1""","36∑23'18.6""","11:55","2.414","0.046"
"3008B60","措没达2","2016/08/02","1雀瞒 吝摸何","127∑29'5.4""","36∑28'37""","13:00","2.251","0.059"
"3008B50","措没达3","2016/08/02","1雀瞒 吝摸何","127∑30'23.8""","36∑30'43.2""","13:30","2.171","0.032"
"3008B10","措没达4","2016/08/02","1雀瞒 吝摸何","127∑38'8.4""","36∑22'18.5""","11:10","3.170","0.036"
"3008B30","措没达5(措没龋)","2016/08/02","1雀瞒 吝摸何","127∑33'9.3""","36∑25'59.2""","12:25","2.819","0.097"
"3008B20","措没达6","2016/08/02","1雀瞒 吝摸何","127∑33'25.1""","36∑23'18.6""","11:55","3.360","0.085"
"3008B60","措没达2","2016/08/02","1雀瞒 窍摸何","127∑29'5.4""","36∑28'37""","13:00","2.319","0.026"
"3008B50","措没达3","2016/08/02","1雀瞒 窍摸何","127∑30'23.8""","36∑30'43.2""","13:30","2.205","0.020"
"3008B10","措没达4","2016/08/02","1雀瞒 窍摸何","127∑38'8.4""","36∑22'18.5""","11:10","2.543","0.083"
"3008B30","措没达5(措没龋)","2016/08/02","1雀瞒 窍摸何","127∑33'9.3""","36∑25'59.2""","12:25","2.893","0.083"
"3008B20","措没达6","2016/08/02","1雀瞒 窍摸何","127∑33'25.1""","36∑23'18.6""","11:55","2.903","0.124"
"3008B40","措没达1","2016/08/08","2雀瞒","127∑29'44""","36∑22'16""","13:00","0.775","0.032"
"3008B40","措没达1","2016/08/16","3雀瞒","127∑29'44""","36∑22'16""","13:15","0.758","0.022"
